F9,F6,F5,F4,F3,F7,F2,F16,F10,F12,TARGET
0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0
1,1,0,1,1,1,0,0,1,0,1
1,1,1,1,1,1,1,0,1,1,1
0,0,0,1,0,0,1,0,1,1,0
1,1,1,1,1,1,1,0.5,1,0,1
0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,0,0,1,0,0
0,0,1,0,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1,1,0
0,0,1,1,0,1,0,0,0,0,0
1,1,0,1,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,0,1,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0
0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,1,1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,0,0,0,1,0
0,0,1,1,0,1,0,0,1,1,0
1,0,0,1,1,0,1,0.25,1,1,1
1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,0,1,1,1
0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1,0,1,0,1,0,1
1,1,1,0,1,1,1,0.25,1,1,1
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,1,0,1,0,1
1,1,1,0,1,1,1,0,1,1,1
1,0,1,1,0,0,1,0,1,1,1
0,0,0,1,1,0,1,0,1,0,0
0,0,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0.25,0,1,0
1,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,0,1,0.25,1,1,1
1,1,0,1,1,0,1,1,1,0,1
0,0,0,1,0,1,0,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1,0,1,0,0,0,0
0,0,0,1,0,0,1,0,1,1,0
1,1,1,1,0,1,0,0,1,1,1
1,1,1,1,1,0,1,0,1,1,1
0,1,1,1,1,0,1,0,0,1,1
0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1,0
0,0,0,0,0,1,1,0,1,1,0
1,0,1,1,0,0,0,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,0,1,1,0
0,1,1,0,1,1,1,0,1,0,1
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,0,1,0.5,0,0,0
0,0,1,0,1,0,1,0.5,0,0,0
0,0,1,0,0,0,0,0.5,0,0,0
0,0,0,0,1,0,1,0.5,0,0,0
0,0,0,0,0,1,1,0.5,0,0,0
0,0,0,0,1,0,1,0.5,0,0,0
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0.25,1,1,0
0,0,0,1,0,1,1,0,0,0,0
0,0,0,1,1,1,1,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0.25,1,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0.25,1,0,0
0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0
0,0,1,0,1,0,0,0,1,0,0
0,0,0,1,1,1,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0.5,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,1,0
1,0,1,1,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0,0,0,0,1,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,1,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,1,1,0
1,1,1,1,1,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0
0,0,1,1,1,0,0,0,1,1,0
0,0,1,1,1,1,0,0,1,1,1
0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,0,1,1,0,0,0,0
1,0,0,0,0,1,0,0,1,1,0
0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,1,1,0,0,1,1,0
0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0
1,1,1,1,1,0,0,0,1,0,1
1,1,1,1,1,1,1,0.25,1,1,1
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,0,0,1,1
0,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,1,0,1,0,1,1,0
0,1,1,0,0,0,1,0.25,1,1,0
0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,1,1,0,0.5,1,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,1,0.5,1,0,0
0,0,1,1,1,0,1,0,1,1,1
0,1,1,1,1,0,1,0,1,1,1
0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,1,0,0,1,1,1
0,0,0,0,0,0,0,0.75,0,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,1,0,1,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0
1,0,1,1,1,0,1,0,0,1,1
0,0,0,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,1
0,0,1,1,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,0,1,0.75,0,1,0
0,0,0,1,0,1,0,0,1,1,0
0,1,1,1,0,1,1,0,1,1,1
0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,1,1,0,0.5,1,0,1
0,1,0,1,1,0,0,0.5,1,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,0,0,1
0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0.25,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0.25,1,0,0
0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,0,0,1,0,1,1,1
0,0,0,0,1,1,1,0,1,0,0
0,0,0,1,1,0,1,0,0,1,0
1,0,0,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,0,1,1,1,1,0,1,0,0
0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0.25,0,0,0
1,0,1,1,1,0,1,0.25,0,1,0
1,1,1,1,0,0,1,0,1,1,1
0,0,1,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,0,1,1,0
1,0,1,1,1,1,0,0.5,1,0,1
0,0,0,0,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,1,1,0
0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,1,0,1,0,1,1,0
0,0,0,1,1,0,0,0,0,1,0
1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,0,1,0,1
0,0,0,1,0,1,1,0.25,0,1,0
1,0,1,1,1,1,0,0,1,0,1
0,0,0,1,1,0,0,0,1,0,0
1,0,1,1,1,0,1,0,1,1,1
0,0,1,1,1,0,1,0,1,1,1
1,0,1,1,1,1,1,0,0,1,1
0,1,1,1,0,0,1,0.25,1,0,0
1,1,0,1,1,0,1,0,1,0,1
0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0.5,0,1,0
0,0,0,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,0,1
0,1,0,0,1,0,0,0,0,1,0
0,1,1,1,1,0,1,0.5,1,0,0
1,1,1,1,1,0,1,0.5,1,0,1
0,0,0,0,0,0,1,0.25,0,1,0
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,0,1,1,1
0,1,1,1,1,1,0,0,1,1,1
0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,1,0,1,0,1,0,0
0,0,0,1,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1,1,1,0,1,0,1
1,1,1,1,1,0,1,0.5,1,0,1
0,0,1,1,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,0,1,0,0,1,0,1
1,1,0,1,0,1,1,0.25,1,1,0
1,0,0,0,0,1,0,0.25,0,0,0
0,0,0,0,0,0,1,0,0,1,0
0,1,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,0,1,0,1,1,1
0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,0,1,1,0,1,0,1
1,0,1,1,1,1,1,0,1,0,1
1,0,1,1,1,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0.25,1,1,0
1,1,1,0,0,0,1,0.5,0,1,0
1,1,1,1,0,0,1,0.5,0,1,1
0,0,1,1,1,0,1,0,1,0,1
0,0,0,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,0,1,0,1
0,0,0,0,1,0,1,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0
1,0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,0.25,1,1,0
1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,1,0
0,1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0
0,1,1,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,1,0
0,1,0,1,1,0,0,0,1,1,0
0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,1,0,0,0,0
1,0,1,1,1,1,0,0,0,1,1
0,0,1,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,1,1,0
0,0,1,1,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0.25,0,1,0
1,0,1,0,0,0,1,0,1,1,0
1,0,1,0,1,1,0,0,1,0,1
0,0,0,0,1,1,1,0,1,0,0
1,1,1,1,1,1,1,0,1,1,1
0,0,1,1,0,0,1,0,0,0,0
1,1,1,0,0,1,0,0.25,1,0,1
0,0,0,0,1,0,1,0,0,0,0
1,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0.25,0,1,0
0,0,1,1,1,0,0,0.25,1,0,0
0,0,0,1,1,0,1,0,0,1,0
0,1,0,0,1,0,0,0.25,1,0,0
0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,0,1,1,1
1,0,1,1,1,1,1,0,1,0,1
0,0,1,1,0,1,0,0,1,1,0
1,0,1,0,0,1,0,0,1,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,0,1,0,1,1,1
1,1,1,1,1,0,1,0,1,1,1
1,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
0,0,0,0,1,1,0,0.25,0,1,0
0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,1,0,1,0,1
1,0,1,1,1,1,1,0,1,0,1
0,0,1,1,1,0,1,0,1,0,1
0,0,1,1,1,1,1,0,1,0,1
1,0,1,0,1,1,1,0,1,0,1
0,1,1,0,0,0,1,0,1,1,0
1,0,0,1,1,0,1,0,0,1,0
0,0,0,0,0,1,1,0.25,1,0,0
0,0,0,0,0,1,0,0.75,1,0,0
1,0,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,0,1,0,1
1,1,1,1,1,1,1,0.25,1,0,1
1,1,1,1,0,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0.5,1,0,0
1,0,1,1,1,0,0,0,1,0,1
0,0,1,0,0,1,0,0,1,0,0
1,1,1,0,1,1,1,0,1,0,1
1,1,1,1,1,1,0,0,1,0,1
1,1,1,0,0,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,0,0,0
0,1,1,0,1,1,1,0,1,0,1
0,0,0,1,0,0,0,0,1,1,0
0,0,1,1,1,0,1,0,1,0,1
0,0,0,1,1,1,0,0.25,0,0,0
1,1,1,1,1,0,1,0,1,0,1
0,0,1,1,1,0,1,0,1,1,0
1,1,1,1,1,1,1,0,1,1,1
1,0,1,1,0,1,1,0,1,1,1
0,0,0,0,0,0,0,0.25,1,0,0
1,0,1,1,0,1,0,0,1,0,0
1,0,1,1,1,1,0,0,1,1,1
